Variable,Estimate,Std..Error,t.value,Pr...t..,Significance,From,To
NebraskatoOregon,1.206611079,0.326710006,3.693217403,0.000221483,*,Nebraska,Oregon
NebraskatoPennsylvania,0.556708873,0.21902465,2.541763547,0.01103009,*,Nebraska,Pennsylvania
NebraskatoRhode Island,-0.016495139,0.588479376,-0.028030106,0.977638163,,Nebraska,Rhode Island
NebraskatoSouth Carolina,0.7703425,0.277735183,2.773658313,0.005543408,*,Nebraska,South Carolina
NebraskatoSouth Dakota,-0.259509195,0.103576322,-2.505487651,0.012228914,*,Nebraska,South Dakota
NebraskatoTennessee,0.486014003,0.20529335,2.367412311,0.017913741,*,Nebraska,Tennessee
NebraskatoTexas,0.377420241,0.121519898,3.105830783,0.00189767,*,Nebraska,Texas
NebraskatoUtah,0.785537301,0.339952132,2.310729149,0.020848651,*,Nebraska,Utah
NebraskatoVermont,-0.038013626,0.588478823,-0.06459642,0.948495388,,Nebraska,Vermont
NebraskatoVirginia,0.653816462,0.211874629,3.085864807,0.002029838,*,Nebraska,Virginia
NebraskatoWashington,1.145975323,0.22698935,5.048586299,4.45E-07,*,Nebraska,Washington
NebraskatoWest Virginia,2.381358982,0.679441728,3.504875968,0.000456902,*,Nebraska,West Virginia
NebraskatoWisconsin,-0.540845892,0.186510471,-2.899815167,0.003734161,*,Nebraska,Wisconsin
NebraskatoWyoming,-0.264834441,0.162142223,-1.633346546,0.102397424,,Nebraska,Wyoming
NevadatoAlabama,0.205170114,0.240757496,0.85218578,0.394111825,,Nevada,Alabama
NevadatoArizona,0.466132354,0.193893207,2.404067484,0.016214521,*,Nevada,Arizona
NevadatoArkansas,0.476893222,0.27779036,1.716737833,0.086028355,,Nevada,Arkansas
NevadatoCalifornia,-0.061371707,0.089873238,-0.682869659,0.494689857,,Nevada,California
NevadatoColorado,0.63538536,0.172217596,3.689433455,0.000224803,*,Nevada,Colorado
NevadatoConnecticut,-0.276969955,0.588556296,-0.47059212,0.637932457,,Nevada,Connecticut
NevadatoDelaware,0.19958553,0.832125208,0.239850359,0.810446467,,Nevada,Delaware
NevadatoDistrict of Columbia,0.844533097,0.832122988,1.014913793,0.31014793,,Nevada,District of Columbia
NevadatoFlorida,1.243419384,0.167315862,7.431569077,1.08E-13,*,Nevada,Florida
NevadatoGeorgia,0.391552968,0.215494759,1.81699532,0.069219057,,Nevada,Georgia
NevadatoIdaho,0.121697939,0.136471313,0.891747403,0.37252922,,Nevada,Idaho
NevadatoIllinois,0.482314091,0.199573179,2.416728003,0.015661444,*,Nevada,Illinois
NevadatoIndiana,0.814406735,0.251410775,3.239346985,0.001198198,*,Nevada,Indiana
NevadatoIowa,0.505874212,0.235873999,2.144679843,0.031979439,*,Nevada,Iowa
NevadatoKansas,0.499810534,0.277751667,1.799487067,0.071942904,,Nevada,Kansas
NevadatoKentucky,0.603088856,0.245914592,2.452432171,0.014190109,*,Nevada,Kentucky
NevadatoLouisiana,0.533386161,0.285831737,1.86608445,0.062030751,,Nevada,Louisiana
NevadatoMaine,-0.406920496,0.588551171,-0.691393572,0.489318901,,Nevada,Maine
NevadatoMaryland,0.904076576,0.326813573,2.766337293,0.005669413,*,Nevada,Maryland
NevadatoMassachusetts,1.206450707,0.355219635,3.396351405,0.000683015,*,Nevada,Massachusetts
NevadatoMichigan,0.605690199,0.176210973,3.437301263,0.00058764,*,Nevada,Michigan
NevadatoMinnesota,0.294617057,0.208617644,1.41223461,0.15788217,,Nevada,Minnesota
NevadatoMississippi,1.231961328,0.355126416,3.469078255,0.000522337,*,Nevada,Mississippi
NevadatoMissouri,0.761654683,0.19676021,3.870979219,0.000108427,*,Nevada,Missouri
NevadatoMontana,0.106990911,0.191370831,0.559076376,0.57611011,,Nevada,Montana
NevadatoNebraska,0.744653258,0.304182464,2.448047952,0.014363954,*,Nevada,Nebraska
NevadatoNevada,1.108502743,0.102015052,10.86607049,1.70E-27,*,Nevada,Nevada
NevadatoNew Hampshire,0.824176587,0.340122418,2.423176314,0.015386181,*,Nevada,New Hampshire
NevadatoNew Jersey,0.601031008,0.31497096,1.908210866,0.056365141,,Nevada,New Jersey
NevadatoNew Mexico,0.203887726,0.218942369,0.931239241,0.351730746,,Nevada,New Mexico
NevadatoNew York,0.34674118,0.172548153,2.00953284,0.044481756,*,Nevada,New York
NevadatoNorth Carolina,0.894331211,0.19422434,4.604629942,4.13E-06,*,Nevada,North Carolina
NevadatoNorth Dakota,-0.181610271,0.3266997,-0.555893595,0.578284107,,Nevada,North Dakota
NevadatoOhio,0.747927502,0.196852467,3.799431689,0.000145063,*,Nevada,Ohio
NevadatoOklahoma,0.425861361,0.208566188,2.041852354,0.041167253,*,Nevada,Oklahoma
NevadatoOregon,0.298697061,0.160642881,1.859385608,0.062973704,,Nevada,Oregon
NevadatoPennsylvania,0.480110761,0.212055482,2.264080878,0.023570016,*,Nevada,Pennsylvania
NevadatoRhode Island,0.082582534,0.679514995,0.121531584,0.9032701,,Nevada,Rhode Island
NevadatoSouth Carolina,1.059037298,0.263651853,4.016802031,5.90E-05,*,Nevada,South Carolina
NevadatoSouth Dakota,0.602703014,0.372370051,1.618559316,0.105543408,,Nevada,South Dakota
NevadatoTennessee,0.580007176,0.231350434,2.507050307,0.012174984,*,Nevada,Tennessee
NevadatoTexas,0.882368986,0.132488307,6.659976329,2.74E-11,*,Nevada,Texas
NevadatoUtah,0.290403751,0.175848103,1.65144659,0.098648706,,Nevada,Utah
NevadatoVermont,1.660432784,0.480652476,3.454539123,0.000551328,*,Nevada,Vermont
NevadatoVirginia,0.969471973,0.186858,5.188281868,2.12E-07,*,Nevada,Virginia
NevadatoWashington,0.30429373,0.144405547,2.107216352,0.035099849,*,Nevada,Washington
NevadatoWest Virginia,0.605650466,0.480627715,1.260123892,0.207625879,,Nevada,West Virginia
NevadatoWisconsin,0.095000211,0.194156095,0.489298115,0.624631096,,Nevada,Wisconsin
NevadatoWyoming,0.240471205,0.263465672,0.912723102,0.361389093,,Nevada,Wyoming
New HampshiretoAlabama,-0.434986389,0.444945666,-0.97761687,0.328264821,,New Hampshire,Alabama
New HampshiretoArizona,0.793001673,0.294683793,2.691025743,0.007123756,*,New Hampshire,Arizona
New HampshiretoArkansas,0.393668122,0.67945114,0.579391363,0.562325666,,New Hampshire,Arkansas
New HampshiretoCalifornia,0.731350482,0.205666474,3.556002431,0.000376612,*,New Hampshire,California
New HampshiretoColorado,1.009819579,0.245915527,4.106367712,4.02E-05,*,New Hampshire,Colorado
New HampshiretoConnecticut,-1.358995139,0.205208344,-6.62251405,3.54E-11,*,New Hampshire,Connecticut
New HampshiretoDelaware,0.035835111,0.832029027,0.043069545,0.965646132,,New Hampshire,Delaware
New HampshiretoDistrict of Columbia,0.111670561,0.679403469,0.164365603,0.869443476,,New Hampshire,District of Columbia
New HampshiretoFlorida,0.840950684,0.115324504,7.29203816,3.06E-13,*,New Hampshire,Florida
New HampshiretoGeorgia,0.284431364,0.257172031,1.10599649,0.26872913,,New Hampshire,Georgia
New HampshiretoIdaho,0.966851326,0.588538162,1.642801415,0.100425317,,New Hampshire,Idaho
New HampshiretoIllinois,0.451791905,0.355066388,1.272415301,0.203226814,,New Hampshire,Illinois
New HampshiretoIndiana,0.290549829,0.444931219,0.653021898,0.513742777,,New Hampshire,Indiana
New HampshiretoIowa,0.433831522,0.832070674,0.521387829,0.602097102,,New Hampshire,Iowa
New HampshiretoKansas,0.848121232,0.526407295,1.611150225,0.107148278,,New Hampshire,Kansas
New HampshiretoKentucky,0.418145177,0.372342029,1.123013641,0.261432807,,New Hampshire,Kentucky
New HampshiretoLouisiana,1.496746325,0.526394693,2.843391746,0.004463988,*,New Hampshire,Louisiana
New HampshiretoMaine,-0.437091287,0.125323566,-3.487702268,0.000487276,*,New Hampshire,Maine
New HampshiretoMaryland,-0.220169942,0.294447532,-0.747739132,0.454618244,,New Hampshire,Maryland
New HampshiretoMassachusetts,-0.835940651,0.125410135,-6.665654666,2.64E-11,*,New Hampshire,Massachusetts
New HampshiretoMichigan,-0.130689529,0.257151225,-0.50822052,0.611299162,,New Hampshire,Michigan
New HampshiretoMinnesota,-0.58362998,0.444966138,-1.311627851,0.189646967,,New Hampshire,Minnesota
New HampshiretoMississippi,0.20988266,0.679444603,0.30890327,0.757395373,,New Hampshire,Mississippi
New HampshiretoMissouri,1.111981925,0.444959603,2.499062654,0.012452882,*,New Hampshire,Missouri
New HampshiretoMontana,0.368821185,0.392562479,0.939522255,0.347463602,,New Hampshire,Montana
New HampshiretoNebraska,1.171083651,0.679454041,1.723565657,0.084787551,,New Hampshire,Nebraska
New HampshiretoNevada,0.532466246,0.39259305,1.356280365,0.175011237,,New Hampshire,Nevada
New HampshiretoNew Hampshire,0.925648368,0.128308151,7.214260076,5.44E-13,*,New Hampshire,New Hampshire
New HampshiretoNew Jersey,-0.182321776,0.314708583,-0.579335251,0.56236352,,New Hampshire,New Jersey
New HampshiretoNew Mexico,1.35297565,0.445013202,3.040304522,0.002363641,*,New Hampshire,New Mexico
New HampshiretoNew York,-0.95789424,0.135557019,-7.066356646,1.59E-12,*,New Hampshire,New York
New HampshiretoNorth Carolina,0.322937705,0.18209155,1.77349089,0.076148648,,New Hampshire,North Carolina
New HampshiretoNorth Dakota,1.540487804,0.526421206,2.926340708,0.003430067,*,New Hampshire,North Dakota
New HampshiretoOhio,-0.051010876,0.263468596,-0.193612737,0.846479285,,New Hampshire,Ohio
New HampshiretoOklahoma,0.604976922,0.480590664,1.258819548,0.208096724,,New Hampshire,Oklahoma
New HampshiretoOregon,0.971860387,0.679518575,1.430219015,0.152655451,,New Hampshire,Oregon
New HampshiretoPennsylvania,-0.42695402,0.177857895,-2.400534537,0.016371891,*,New Hampshire,Pennsylvania
New HampshiretoRhode Island,-1.012635365,0.270212231,-3.747555613,0.000178607,*,New Hampshire,Rhode Island
New HampshiretoSouth Carolina,0.516956975,0.208488537,2.479546276,0.013155636,*,New Hampshire,South Carolina
New HampshiretoSouth Dakota,-0.042251136,0.48060362,-0.087912646,0.929946177,,New Hampshire,South Dakota
New HampshiretoTennessee,0.752430487,0.372347964,2.020772394,0.043304423,*,New Hampshire,Tennessee
New HampshiretoTexas,0.967943332,0.199582163,4.84984888,1.24E-06,*,New Hampshire,Texas
New HampshiretoUtah,0.692044238,0.588531657,1.175882775,0.239642871,,New Hampshire,Utah
New HampshiretoVermont,-0.474025387,0.151166615,-3.13578092,0.001714176,*,New Hampshire,Vermont
New HampshiretoVirginia,-0.330310022,0.188880257,-1.748780034,0.080330308,,New Hampshire,Virginia
New HampshiretoWashington,1.523717382,0.314976707,4.837555759,1.32E-06,*,New Hampshire,Washington
New HampshiretoWest Virginia,0.504523343,0.372311042,1.355112492,0.175382975,,New Hampshire,West Virginia
New HampshiretoWisconsin,0.414086059,0.314801305,1.315388638,0.18838056,,New Hampshire,Wisconsin
New HampshiretoWyoming,1.901264923,0.679476792,2.798130775,0.005140333,*,New Hampshire,Wyoming
New JerseytoAlabama,-0.223509709,0.191443357,-1.167497855,0.243010516,,New Jersey,Alabama
New JerseytoArizona,0.928304941,0.174406257,5.322658459,1.02E-07,*,New Jersey,Arizona
New JerseytoArkansas,-0.220822006,0.245807994,-0.898351604,0.368999016,,New Jersey,Arkansas
New JerseytoCalifornia,0.790031254,0.091124478,8.669802752,4.35E-18,*,New Jersey,California
New JerseytoColorado,0.693839438,0.132625295,5.231576957,1.68E-07,*,New Jersey,Colorado
New JerseytoConnecticut,-1.212461722,0.134741653,-8.998418078,2.31E-19,*,New Jersey,Connecticut
New JerseytoDelaware,-0.8675398,0.156396555,-5.547051839,2.91E-08,*,New Jersey,Delaware
New JerseytoDistrict of Columbia,-0.050440325,0.270242255,-0.186648549,0.851936354,,New Jersey,District of Columbia
New JerseytoFlorida,0.639698291,0.062146335,10.29341936,7.63E-25,*,New Jersey,Florida
New JerseytoGeorgia,0.289282164,0.095606514,3.025757898,0.002480366,*,New Jersey,Georgia
New JerseytoIdaho,0.068932327,0.392574177,0.17559058,0.86061575,,New Jersey,Idaho
New JerseytoIllinois,0.043481062,0.141428672,0.307441635,0.758507504,,New Jersey,Illinois
New JerseytoIndiana,0.37827755,0.15931007,2.374473558,0.017574764,*,New Jersey,Indiana
New JerseytoIowa,-0.087244914,0.257201609,-0.339208274,0.734453129,,New Jersey,Iowa
New JerseytoKansas,-0.017940266,0.222904954,-0.080483927,0.935852445,,New Jersey,Kansas
New JerseytoKentucky,-0.207811225,0.235732653,-0.881554687,0.378018537,,New Jersey,Kentucky
New JerseytoLouisiana,0.089651224,0.245815788,0.364708976,0.715328974,,New Jersey,Louisiana
New JerseytoMaine,-0.603060076,0.17786591,-3.390532096,0.000697681,*,New Jersey,Maine
New JerseytoMaryland,-0.942175152,0.102478971,-9.193838932,3.82E-20,*,New Jersey,Maryland
New JerseytoMassachusetts,-0.648840168,0.115589168,-5.613330223,1.99E-08,*,New Jersey,Massachusetts
New JerseytoMichigan,-0.306329532,0.155148082,-1.974433245,0.048333628,*,New Jersey,Michigan
New JerseytoMinnesota,-0.388469494,0.2085757,-1.862486826,0.062535703,,New Jersey,Minnesota
New JerseytoMississippi,0.304236458,0.444949947,0.683754342,0.494130952,,New Jersey,Mississippi
New JerseytoMissouri,0.224740337,0.170506226,1.318077008,0.187479109,,New Jersey,Missouri
New JerseytoMontana,0.500890465,0.39256275,1.275950062,0.201974389,,New Jersey,Montana
New JerseytoNebraska,0.372123231,0.340010495,1.094446308,0.273760365,,New Jersey,Nebraska
New JerseytoNevada,1.053999331,0.270530808,3.896041777,9.78E-05,*,New Jersey,Nevada
New JerseytoNew Hampshire,-1.095483001,0.188840491,-5.801102281,6.60E-09,*,New Jersey,New Hampshire
New JerseytoNew Jersey,0.201354675,0.060245378,3.342242721,0.000831168,*,New Jersey,New Jersey
New JerseytoNew Mexico,1.15473602,0.285853374,4.039609548,5.36E-05,*,New Jersey,New Mexico
New JerseytoNew York,-1.230006922,0.059521856,-20.66479445,8.67E-95,*,New Jersey,New York
New JerseytoNorth Carolina,-0.064019672,0.076672834,-0.834972034,0.403734273,,New Jersey,North Carolina
New JerseytoNorth Dakota,0.45090847,0.340024693,1.326105073,0.184806139,,New Jersey,North Dakota
New JerseytoOhio,-0.395223233,0.109668169,-3.603809889,0.000313649,*,New Jersey,Ohio
New JerseytoOklahoma,0.099957824,0.245843244,0.406591704,0.684308248,,New Jersey,Oklahoma
New JerseytoOregon,0.88086889,0.285944177,3.080562436,0.00206633,*,New Jersey,Oregon
New JerseytoPennsylvania,-0.827375475,0.055031035,-15.03470681,4.59E-51,*,New Jersey,Pennsylvania
New JerseytoRhode Island,-0.561636436,0.211711338,-2.652840621,0.007982272,*,New Jersey,Rhode Island
New JerseytoSouth Carolina,0.074903878,0.102969689,0.727436184,0.466959494,,New Jersey,South Carolina
New JerseytoSouth Dakota,1.261243802,0.526403927,2.395961993,0.016577558,*,New Jersey,South Dakota
New JerseytoTennessee,0.033886712,0.14136302,0.239714124,0.810552086,,New Jersey,Tennessee
New JerseytoTexas,0.49531453,0.098767187,5.014970492,5.31E-07,*,New Jersey,Texas
New JerseytoUtah,0.399954296,0.231404556,1.728376931,0.083921935,,New Jersey,Utah
New JerseytoVermont,-0.920182329,0.159161845,-5.781425369,7.42E-09,*,New Jersey,Vermont
New JerseytoVirginia,-0.412126046,0.077190512,-5.339076466,9.35E-08,*,New Jersey,Virginia
New JerseytoWashington,0.792364045,0.176355742,4.492986938,7.03E-06,*,New Jersey,Washington
New JerseytoWest Virginia,-0.382808452,0.199301995,-1.920745707,0.054764939,,New Jersey,West Virginia
New JerseytoWisconsin,-0.526086827,0.218992155,-2.402309007,0.016292683,*,New Jersey,Wisconsin
New JerseytoWyoming,1.297938633,0.445010747,2.916645588,0.003538498,*,New Jersey,Wyoming
New MexicotoAlabama,0.591829379,0.304163054,1.945763534,0.051684299,,New Mexico,Alabama
New MexicotoArizona,0.096404601,0.12402526,0.777298118,0.436983659,,New Mexico,Arizona
New MexicotoArkansas,0.633243509,0.355030641,1.783630581,0.074484957,,New Mexico,Arkansas
New MexicotoCalifornia,0.183693079,0.116914355,1.571176434,0.11614297,,New Mexico,California
New MexicotoColorado,-0.114471027,0.094734777,-1.20833163,0.226920899,,New Mexico,Colorado
New MexicotoConnecticut,0.843402756,0.445018133,1.895209866,0.058065786,,New Mexico,Connecticut
New MexicotoDelaware,0.739182543,0.679474185,1.087874358,0.276651653,,New Mexico,Delaware
New MexicotoDistrict of Columbia,1.017333023,0.832097445,1.222612844,0.221477142,,New Mexico,District of Columbia
New MexicotoFlorida,0.793504691,0.141553477,5.605688439,2.08E-08,*,New Mexico,Florida
New MexicotoGeorgia,1.454323114,0.219046735,6.639327967,3.16E-11,*,New Mexico,Georgia
New MexicotoIdaho,0.825556498,0.263475961,3.133327595,0.001728569,*,New Mexico,Idaho
New MexicotoIllinois,0.373671432,0.231253283,1.615853526,0.10612728,,New Mexico,Illinois
New MexicotoIndiana,0.576644797,0.219028048,2.632744078,0.008470348,*,New Mexico,Indiana
New MexicotoIowa,0.43568194,0.304135688,1.432524883,0.151994944,,New Mexico,Iowa
New MexicotoKansas,-0.028926479,0.211756934,-0.136602276,0.89134529,,New Mexico,Kansas
New MexicotoKentucky,1.065172569,0.355074703,2.999854853,0.002701356,*,New Mexico,Kentucky
New MexicotoLouisiana,0.878488507,0.326639833,2.689471458,0.007157014,*,New Mexico,Louisiana
New MexicotoMaine,1.219960434,0.326770393,3.733387295,0.000188965,*,New Mexico,Maine
New MexicotoMaryland,1.321624634,0.270433667,4.887056587,1.02E-06,*,New Mexico,Maryland
New MexicotoMassachusetts,1.061185756,0.392558864,2.703252565,0.006866931,*,New Mexico,Massachusetts
New MexicotoMichigan,0.472713477,0.263561728,1.793558882,0.072884844,,New Mexico,Michigan
New MexicotoMinnesota,0.208572011,0.251286806,0.830015769,0.406530681,,New Mexico,Minnesota
New MexicotoMississippi,0.662121599,0.526366464,1.257909924,0.208425539,,New Mexico,Mississippi
New MexicotoMissouri,0.307113133,0.222814736,1.378334032,0.168101446,,New Mexico,Missouri
New MexicotoMontana,1.123074868,0.285717658,3.930715644,8.47E-05,*,New Mexico,Montana
New MexicotoNebraska,0.240742491,0.372312216,0.646614538,0.517882056,,New Mexico,Nebraska
New MexicotoNevada,0.582691519,0.235735529,2.471801854,0.013444078,*,New Mexico,Nevada
New MexicotoNew Hampshire,1.202532649,0.67947725,1.769790892,0.076763232,,New Mexico,New Hampshire
New MexicotoNew Jersey,0.053947665,0.4806139,0.112247408,0.910627333,,New Mexico,New Jersey
New MexicotoNew Mexico,0.354408442,0.054954159,6.449165061,1.13E-10,*,New Mexico,New Mexico
New MexicotoNew York,0.414609845,0.202495933,2.047497143,0.040610367,*,New Mexico,New York
New MexicotoNorth Carolina,1.031449648,0.227016184,4.543507119,5.54E-06,*,New Mexico,North Carolina
New MexicotoNorth Dakota,0.789527506,0.326640187,2.417116869,0.015644722,*,New Mexico,North Dakota
New MexicotoOhio,0.843922098,0.215407916,3.91778591,8.94E-05,*,New Mexico,Ohio
New MexicotoOklahoma,0.152009826,0.140279829,1.083618557,0.278535032,,New Mexico,Oklahoma
New MexicotoOregon,0.494549932,0.182180314,2.714617843,0.006635696,*,New Mexico,Oregon
New MexicotoPennsylvania,0.57054286,0.263607449,2.164365473,0.030437279,*,New Mexico,Pennsylvania
New MexicotoRhode Island,0.611660207,0.832104347,0.735076327,0.462293718,,New Mexico,Rhode Island
New MexicotoSouth Carolina,0.750176621,0.277780457,2.700609789,0.006921727,*,New Mexico,South Carolina
New MexicotoSouth Dakota,0.49624425,0.30412146,1.631730463,0.102737572,,New Mexico,South Dakota
New MexicotoTennessee,1.321261726,0.270370013,4.886864906,1.03E-06,*,New Mexico,Tennessee
New MexicotoTexas,0.206334615,0.068403904,3.016415795,0.002558086,*,New Mexico,Texas
New MexicotoUtah,-0.040214669,0.175884518,-0.22864246,0.819147012,,New Mexico,Utah
New MexicotoVermont,1.483305009,0.480615379,3.086262058,0.002027128,*,New Mexico,Vermont
New MexicotoVirginia,1.300999548,0.174254897,7.466071648,8.29E-14,*,New Mexico,Virginia
New MexicotoWashington,0.793755315,0.189036694,4.198948358,2.68E-05,*,New Mexico,Washington
New MexicotoWest Virginia,1.886804653,0.832091313,2.267545187,0.023357813,*,New Mexico,West Virginia
New MexicotoWisconsin,0.502721963,0.196690975,2.555897462,0.010592033,*,New Mexico,Wisconsin
New MexicotoWyoming,-0.209563732,0.240523143,-0.871283024,0.383600495,,New Mexico,Wyoming
New YorktoAlabama,0.406058822,0.144512624,2.80985017,0.004956852,*,New York,Alabama
New YorktoArizona,0.946196741,0.130388362,7.256757618,3.98E-13,*,New York,Arizona
New YorktoArkansas,0.264954977,0.222886888,1.188741876,0.234542415,,New York,Arkansas
New YorktoCalifornia,0.944294847,0.066177921,14.26903172,3.56E-46,*,New York,California
New YorktoColorado,0.807414428,0.099831116,8.087803243,6.10E-16,*,New York,Colorado
New YorktoConnecticut,-0.625975958,0.101387761,-6.174078119,6.67E-10,*,New York,Connecticut
New YorktoDelaware,-1.010178457,0.177853996,-5.679818725,1.35E-08,*,New York,Delaware
New YorktoDistrict of Columbia,0.430058334,0.25119447,1.712053347,0.08688811,,New York,District of Columbia
New YorktoFlorida,0.719189942,0.048744295,14.75434071,3.03E-49,*,New York,Florida
New YorktoGeorgia,0.370039138,0.074277862,4.981822685,6.30E-07,*,New York,Georgia
New YorktoIdaho,1.101406246,0.235971854,4.667532279,3.05E-06,*,New York,Idaho
New YorktoIllinois,-0.121487044,0.104686623,-1.160482979,0.245853356,,New York,Illinois
New YorktoIndiana,-0.037009187,0.124851719,-0.29642513,0.766905689,,New York,Indiana
New YorktoIowa,-0.292791061,0.178036598,-1.644555471,0.100062806,,New York,Iowa
New YorktoKansas,0.817876236,0.163920359,4.989473188,6.06E-07,*,New York,Kansas
New YorktoKentucky,0.268489967,0.139385551,1.926239589,0.054075626,,New York,Kentucky
New YorktoLouisiana,0.217991303,0.156635068,1.391714545,0.164010126,,New York,Louisiana
New YorktoMaine,-0.887515426,0.111459404,-7.962678747,1.69E-15,*,New York,Maine
New YorktoMaryland,-0.553541641,0.094830918,-5.837143136,5.32E-09,*,New York,Maryland
New YorktoMassachusetts,-0.628472101,0.075708323,-8.301228678,1.04E-16,*,New York,Massachusetts
New YorktoMichigan,-0.306137905,0.096152668,-3.18387322,0.001453369,*,New York,Michigan
New YorktoMinnesota,0.09419674,0.127826269,0.736912219,0.461176442,,New York,Minnesota
New YorktoMississippi,0.291046405,0.189014016,1.53981388,0.123607026,,New York,Mississippi
New YorktoMissouri,0.340669733,0.135821772,2.508211512,0.012135045,*,New York,Missouri
New YorktoMontana,1.13408594,0.215505562,5.26244395,1.42E-07,*,New York,Montana
New YorktoNebraska,0.112461528,0.231298607,0.486217922,0.626813103,,New York,Nebraska
New YorktoNevada,0.938337252,0.186905309,5.020388434,5.16E-07,*,New York,Nevada
New YorktoNew Hampshire,-0.743400088,0.114987185,-6.465069044,1.01E-10,*,New York,New Hampshire
New YorktoNew Jersey,-1.03003527,0.07067495,-14.57426251,4.29E-48,*,New York,New Jersey
New YorktoNew Mexico,1.14923406,0.191603713,5.997973862,2.00E-09,*,New York,New Mexico
New YorktoNew York,-0.209997963,0.027130672,-7.740241745,9.96E-15,*,New York,New York
New YorktoNorth Carolina,0.142709045,0.05725887,2.492348246,0.012690813,*,New York,North Carolina
New YorktoNorth Dakota,1.128205697,0.277780035,4.061507498,4.88E-05,*,New York,North Dakota
New YorktoOhio,-0.326989243,0.077485003,-4.220032671,2.44E-05,*,New York,Ohio
New YorktoOklahoma,0.337753345,0.140542294,2.403214971,0.016252373,*,New York,Oklahoma
New YorktoOregon,1.121099956,0.155572813,7.206271681,5.77E-13,*,New York,Oregon
New YorktoPennsylvania,-0.875260571,0.04892545,-17.88967868,1.58E-71,*,New York,Pennsylvania
New YorktoRhode Island,-0.740566968,0.151191847,-4.89819379,9.68E-07,*,New York,Rhode Island
New YorktoSouth Carolina,0.143067837,0.078207272,1.829341866,0.067349631,,New York,South Carolina
New YorktoSouth Dakota,1.08585437,0.372410455,2.915746202,0.003548713,*,New York,South Dakota
New YorktoTennessee,0.186462032,0.101930472,1.829306072,0.067354991,,New York,Tennessee
New YorktoTexas,0.667137774,0.072872526,9.154859951,5.48E-20,*,New York,Texas
New YorktoUtah,0.701345307,0.155469608,4.511140894,6.45E-06,*,New York,Utah
New YorktoVermont,-1.043496737,0.100938189,-10.33797764,4.80E-25,*,New York,Vermont
New YorktoVirginia,-0.303741615,0.062011637,-4.89813898,9.68E-07,*,New York,Virginia
New YorktoWashington,0.872868824,0.114167178,7.645532091,2.09E-14,*,New York,Washington
New YorktoWest Virginia,-0.722895838,0.153764436,-4.701320125,2.59E-06,*,New York,West Virginia
New YorktoWisconsin,-0.329026095,0.141422549,-2.326546217,0.019990245,*,New York,Wisconsin
New YorktoWyoming,0.527903147,0.326759449,1.615571171,0.106188355,,New York,Wyoming
North CarolinatoAlabama,-0.08079865,0.10607535,-0.761709952,0.446233872,,North Carolina,Alabama
North CarolinatoArizona,0.928977446,0.138789414,6.693431598,2.18E-11,*,North Carolina,Arizona
North CarolinatoArkansas,0.1488179,0.211807247,0.702610049,0.482299469,,North Carolina,Arkansas
North CarolinatoCalifornia,0.809216763,0.080161712,10.09480395,5.89E-24,*,North Carolina,California
North CarolinatoColorado,0.687653962,0.112365764,6.119781849,9.38E-10,*,North Carolina,Colorado
North CarolinatoConnecticut,-0.150235254,0.175948686,-0.853858344,0.393184322,,North Carolina,Connecticut
North CarolinatoDelaware,-0.989986403,0.235668912,-4.200750934,2.66E-05,*,North Carolina,Delaware
North CarolinatoDistrict of Columbia,-1.366291865,0.231112493,-5.911804443,3.39E-09,*,North Carolina,District of Columbia
North CarolinatoFlorida,0.063397333,0.053592154,1.182959235,0.236826457,,North Carolina,Florida
North CarolinatoGeorgia,-0.204495725,0.064235628,-3.183524955,0.001455118,*,North Carolina,Georgia
North CarolinatoIdaho,1.2646695,0.194190226,6.512529122,7.40E-11,*,North Carolina,Idaho
North CarolinatoIllinois,-0.035398423,0.110635864,-0.319954323,0.749003231,,North Carolina,Illinois
North CarolinatoIndiana,0.086429345,0.119610982,0.722587038,0.469934327,,North Carolina,Indiana
North CarolinatoIowa,0.518350359,0.184342026,2.811894672,0.004925456,*,North Carolina,Iowa
North CarolinatoKansas,0.591320754,0.151397556,3.905748346,9.40E-05,*,North Carolina,Kansas
North CarolinatoKentucky,-0.082540735,0.110467632,-0.747193852,0.454947276,,North Carolina,Kentucky
North CarolinatoLouisiana,0.51065112,0.159291578,3.205763451,0.00134722,*,North Carolina,Louisiana
North CarolinatoMaine,0.396102637,0.186592104,2.122826363,0.03376941,*,North Carolina,Maine
North CarolinatoMaryland,-0.498573461,0.089136549,-5.59336732,2.23E-08,*,North Carolina,Maryland
North CarolinatoMassachusetts,-0.059631805,0.130717136,-0.456189656,0.64825401,,North Carolina,Massachusetts
North CarolinatoMichigan,-0.034111086,0.101091829,-0.337426734,0.735795525,,North Carolina,Michigan
North CarolinatoMinnesota,-0.147677382,0.159367123,-0.92664898,0.354109733,,North Carolina,Minnesota
North CarolinatoMississippi,0.320013803,0.168656225,1.897432502,0.05777206,,North Carolina,Mississippi
North CarolinatoMissouri,0.561720255,0.128422939,4.373986923,1.22E-05,*,North Carolina,Missouri
North CarolinatoMontana,1.032875507,0.263629584,3.917904391,8.93E-05,*,North Carolina,Montana
North CarolinatoNebraska,0.206870071,0.199460852,1.037146233,0.29966874,,North Carolina,Nebraska
North CarolinatoNevada,0.863635817,0.245973385,3.511094575,0.000446346,*,North Carolina,Nevada
